"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1983,63910,1983,0,1983,0,1983,0,1983,598435,1983,19686,1983,3977,1983,0,1983,0,1983,0,1983,0,1983,0,1983,16,1983,0,1983,0,1983,0,1983,0,1983,143,1983,0,1983,0,1983,144767,1983,15650,1983,44210,1983,2224
1982,50627,1982,0,1982,0,1982,0,1982,525065,1982,17249,1982,3877,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,76,1982,0,1982,0,1982,123289,1982,14562,1982,37567,1982,3170
1981,59437,1981,0,1981,0,1981,0,1981,311124,1981,14621,1981,2717,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,23,1981,0,1981,0,1981,131670,1981,14120,1981,40150,1981,2006
1980,52699,1980,0,1980,0,1980,0,1980,423618,1980,17834,1980,2659,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,115610,1980,10749,1980,41088,1980,2472
1979,40262,1979,0,1979,0,1979,0,1979,351170,1979,16685,1979,4777,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,168373,1979,16485,1979,24583,1979,8729
1978,30851,1978,0,1978,0,1978,0,1978,385489,1978,13918,1978,3723,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,160261,1978,15473,1978,22669,1978,10667
1977,37382,1977,0,1977,0,1977,0,1977,148707,1977,11187,1977,4497,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,151984,1977,12471,1977,19608,1977,10161
1976,37513,1976,0,1976,0,1976,0,1976,240578,1976,13360,1976,3976,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,144760,1976,10276,1976,19886,1976,9607
1975,33780,1975,0,1975,0,1975,0,1975,417309,1975,15678,1975,5135,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,127489,1975,9050,1975,17102,1975,7901
1974,25610,1974,0,1974,0,1974,0,1974,484740,1974,14774,1974,4470,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,134723,1974,9433,1974,18039,1974,8466
1973,20422,1973,0,1973,0,1973,0,1973,402618,1973,13313,1973,4644,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,130122,1973,10310,1973,17225,1973,8483
1972,15079,1972,0,1972,0,1972,0,1972,329587,1972,12903,1972,5584,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,127646,1972,10032,1972,17127,1972,8190
1971,5739,1971,0,1971,0,1971,0,1971,408830,1971,16612,1971,4098,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,119221,1971,8914,1971,16109,1971,7673
1970,5511,1970,0,1970,0,1970,0,1970,399628,1970,12965,1970,3456,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,116839,1970,8364,1970,15837,1970,7021
1969,6422,1969,0,1969,0,1969,0,1969,422243,1969,10370,1969,4439,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,116253,1969,7811,1969,15262,1969,7073
1968,4532,1968,0,1968,0,1968,0,1968,282561,1968,9814,1968,3727,1968,3,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,110274,1968,7434,1968,14931,1968,6591
1967,3300,1967,0,1967,0,1967,0,1967,368007,1967,9685,1967,4108,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,101885,1967,7223,1967,13964,1967,5783
1966,1958,1966,0,1966,0,1966,0,1966,273247,1966,10398,1966,2631,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,100673,1966,6982,1966,13612,1966,5852
1965,1978,1965,0,1965,0,1965,0,1965,319052,1965,9800,1965,1959,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,97488,1965,6569,1965,13541,1965,5577
1964,2132,1964,0,1964,0,1964,0,1964,231188,1964,11049,1964,2817,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,98436,1964,6816,1964,13886,1964,5510
1963,1760,1963,0,1963,0,1963,0,1963,265551,1963,10839,1963,2915,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,93022,1963,6571,1963,13339,1963,5356
1962,1061,1962,0,1962,0,1962,0,1962,241087,1962,10724,1962,3112,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,86898,1962,6420,1962,12825,1962,5134
1961,1001,1961,0,1961,0,1961,0,1961,163670,1961,8900,1961,3907,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,83506,1961,6563,1961,13169,1961,5101
1960,359,1960,0,1960,0,1960,0,1960,187705,1960,10436,1960,4564,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,82098,1960,6479,1960,12842,1960,4982
