"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1987,0,1987,0,1987,0,1987,0,1987,289431,1987,53146,1987,20654,1987,2345,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,0,1987,2967,1987,8018,1987,110609,1987,81741,1987,2537,1987,111920
1986,0,1986,0,1986,0,1986,0,1986,310381,1986,26330,1986,24300,1986,1801,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,0,1986,2714,1986,7334,1986,118753,1986,87782,1986,3002,1986,108571
1985,0,1985,0,1985,0,1985,0,1985,284044,1985,42766,1985,22699,1985,1827,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,2568,1985,6939,1985,131497,1985,94004,1985,3126,1985,121852
1984,0,1984,0,1984,0,1984,0,1984,279993,1984,66493,1984,24656,1984,1708,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,2395,1984,6472,1984,129571,1984,93386,1984,3031,1984,119916
1983,0,1983,0,1983,0,1983,0,1983,277676,1983,64610,1983,25010,1983,1424,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,2006,1983,5421,1983,158213,1983,85025,1983,2438,1983,124276
1982,0,1982,0,1982,0,1982,0,1982,267231,1982,56538,1982,26687,1982,56,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,1068,1982,2885,1982,130211,1982,86765,1982,2625,1982,112175
1981,0,1981,0,1981,0,1981,0,1981,270643,1981,30631,1981,23518,1981,58,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,320,1981,0,1981,143253,1981,77524,1981,2198,1981,112872
1980,0,1980,0,1980,0,1980,0,1980,275016,1980,56992,1980,26107,1980,63,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,129655,1980,78918,1980,2448,1980,107311
1979,0,1979,0,1979,0,1979,0,1979,274181,1979,81961,1979,28325,1979,46,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,94177,1979,109678,1979,561,1979,74611
1978,0,1978,0,1978,0,1978,0,1978,270151,1978,56802,1978,31437,1978,49,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,84713,1978,102371,1978,526,1978,69583
