"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1984,0,1984,0,1984,0,1984,0,1984,137756,1984,1468,1984,4548,1984,9587,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,408,1984,46382,1984,0,1984,10225,1984,18184,1984,97805,1984,55992,1984,57764
1983,0,1983,0,1983,0,1983,0,1983,134351,1983,1414,1983,4401,1983,9675,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,38847,1983,0,1983,7981,1983,17899,1983,105324,1983,59291,1983,54656
1982,0,1982,0,1982,0,1982,0,1982,121177,1982,1297,1982,4473,1982,9599,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,20677,1982,0,1982,6484,1982,16065,1982,95580,1982,53628,1982,50223
1981,0,1981,0,1981,0,1981,0,1981,99374,1981,1399,1981,5317,1981,10260,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,6199,1981,0,1981,5359,1981,16321,1981,95574,1981,53864,1981,49616
1980,0,1980,0,1980,0,1980,0,1980,98760,1980,1438,1980,4928,1980,9828,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,14646,1980,90927,1980,51217,1980,48728
1979,0,1979,0,1979,0,1979,0,1979,94885,1979,1345,1979,4540,1979,9296,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,18844,1979,63281,1979,47318,1979,9652
1978,0,1978,0,1978,0,1978,0,1978,102269,1978,1332,1978,3737,1978,9639,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,17065,1978,61593,1978,42076,1978,9649
1977,0,1977,0,1977,0,1977,0,1977,70428,1977,1351,1977,3898,1977,8136,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,15540,1977,49962,1977,34870,1977,8952
1976,0,1976,0,1976,0,1976,0,1976,107589,1976,1345,1976,4972,1976,6692,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,13792,1976,46126,1976,31049,1976,8495
1975,0,1975,0,1975,0,1975,0,1975,106908,1975,1274,1975,4623,1975,9142,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,11103,1975,41624,1975,26719,1975,7887
1974,0,1974,0,1974,0,1974,0,1974,101140,1974,1300,1974,4647,1974,9304,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,10332,1974,42652,1974,27370,1974,7672
1973,0,1973,0,1973,0,1973,0,1973,86007,1973,1339,1973,4984,1973,9415,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,11209,1973,42523,1973,27118,1973,7276
1972,0,1972,0,1972,0,1972,0,1972,81408,1972,1557,1972,3998,1972,10310,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,11368,1972,39932,1972,26828,1972,6925
1971,0,1971,0,1971,0,1971,0,1971,78264,1971,1429,1971,4513,1971,9565,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,11181,1971,39199,1971,22643,1971,6557
1970,0,1970,0,1970,0,1970,0,1970,74260,1970,1747,1970,5199,1970,9816,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,11476,1970,39317,1970,23295,1970,6264
1969,0,1969,0,1969,0,1969,0,1969,65608,1969,1781,1969,6170,1969,9046,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,10620,1969,39935,1969,23801,1969,6204
1968,0,1968,0,1968,0,1968,0,1968,70145,1968,1731,1968,5444,1968,9891,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,10659,1968,38299,1968,23233,1968,6353
1967,0,1967,0,1967,0,1967,0,1967,71952,1967,1874,1967,4888,1967,8409,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,10300,1967,35570,1967,22475,1967,5834
1966,0,1966,0,1966,0,1966,0,1966,71110,1966,1804,1966,990,1966,9031,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,10269,1966,35275,1966,23325,1966,5963
1965,0,1965,0,1965,0,1965,0,1965,69417,1965,1827,1965,979,1965,9698,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,10361,1965,33209,1965,22081,1965,5462
1964,0,1964,0,1964,0,1964,0,1964,65833,1964,1860,1964,472,1964,7219,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,11059,1964,32631,1964,22696,1964,5579
1963,0,1963,0,1963,0,1963,0,1963,62667,1963,1855,1963,544,1963,7943,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,10560,1963,32563,1963,23463,1963,5460
1962,0,1962,0,1962,0,1962,0,1962,63159,1962,1999,1962,796,1962,9830,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,10825,1962,30865,1962,23293,1962,5749
1961,0,1961,0,1961,0,1961,0,1961,59590,1961,2101,1961,1137,1961,9550,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,10813,1961,30135,1961,23062,1961,6163
1960,0,1960,0,1960,0,1960,0,1960,66333,1960,1986,1960,1079,1960,9481,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,11354,1960,31033,1960,23477,1960,6404
