"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1974,0,1974,0,1974,0,1974,0,1974,16711,1974,15298,1974,-2944,1974,766,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,1052,1974,13396,1974,36040,1974,4153
1973,0,1973,0,1973,0,1973,0,1973,17340,1973,16759,1973,-3457,1973,675,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,0,1973,1016,1973,13912,1973,33746,1973,4221
1972,0,1972,0,1972,0,1972,0,1972,16222,1972,13178,1972,-2254,1972,210,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,0,1972,1052,1972,12953,1972,31808,1972,4536
1971,0,1971,0,1971,0,1971,0,1971,17582,1971,11455,1971,-3236,1971,285,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,0,1971,1069,1971,13277,1971,29857,1971,4679
1970,0,1970,0,1970,0,1970,0,1970,17271,1970,13006,1970,-4228,1970,690,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,0,1970,1051,1970,12315,1970,30134,1970,4858
1969,0,1969,0,1969,0,1969,0,1969,17772,1969,15036,1969,-3957,1969,668,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,0,1969,999,1969,12779,1969,29310,1969,5014
1968,0,1968,0,1968,0,1968,0,1968,18195,1968,12527,1968,-3555,1968,447,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,0,1968,947,1968,12628,1968,28234,1968,5259
1967,0,1967,0,1967,0,1967,0,1967,18073,1967,12543,1967,-2103,1967,367,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,0,1967,912,1967,11546,1967,25799,1967,5312
1966,0,1966,0,1966,0,1966,0,1966,18755,1966,12781,1966,-1369,1966,706,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,0,1966,876,1966,11563,1966,24940,1966,5504
1965,0,1965,0,1965,0,1965,0,1965,16668,1965,11003,1965,-326,1965,448,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,0,1965,876,1965,11015,1965,24019,1965,5627
1964,0,1964,0,1964,0,1964,0,1964,16913,1964,12053,1964,203,1964,99,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,0,1964,929,1964,11654,1964,23744,1964,6201
1963,0,1963,0,1963,0,1963,0,1963,18910,1963,13516,1963,165,1963,457,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,0,1963,894,1963,10934,1963,23232,1963,6012
1962,0,1962,0,1962,0,1962,0,1962,20822,1962,14336,1962,238,1962,672,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,0,1962,911,1962,10783,1962,20961,1962,6119
1961,0,1961,0,1961,0,1961,0,1961,18617,1961,12664,1961,199,1961,553,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,0,1961,929,1961,10663,1961,20550,1961,6383
1960,0,1960,0,1960,0,1960,0,1960,21164,1960,14775,1960,480,1960,745,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,0,1960,946,1960,10855,1960,20034,1960,6628
