"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1984,0,1984,0,1984,0,1984,0,1984,59734,1984,33169,1984,106288,1984,10767,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,0,1984,5118,1984,55,1984,4037,1984,47106,1984,92398,1984,76243
1983,0,1983,0,1983,0,1983,0,1983,58133,1983,32589,1983,104700,1983,11648,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,3612,1983,46,1983,3439,1983,42810,1983,82127,1983,64123
1982,0,1982,0,1982,0,1982,0,1982,56725,1982,25396,1982,102125,1982,10738,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,481,1982,24,1982,3543,1982,43748,1982,81798,1982,69690
1981,0,1981,0,1981,0,1981,0,1981,55461,1981,13136,1981,61827,1981,11972,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,7,1981,3113,1981,39032,1981,74820,1981,58540
1980,0,1980,0,1980,0,1980,0,1980,60436,1980,31421,1980,91045,1980,10171,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,3339,1980,39763,1980,69326,1980,55648
1979,0,1979,0,1979,0,1979,0,1979,65839,1979,40983,1979,127403,1979,12448,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,1980,1979,50545,1979,79846,1979,77273
1978,0,1978,0,1978,0,1978,0,1978,70777,1978,33227,1978,91006,1978,7923,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,2029,1978,50645,1978,72036,1978,76252
1977,0,1977,0,1977,0,1977,0,1977,55241,1977,31831,1977,108482,1977,12199,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,1892,1977,49054,1977,67744,1977,70366
1976,0,1976,0,1976,0,1976,0,1976,73146,1976,35418,1976,98277,1976,11080,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,0,1976,1684,1976,47935,1976,61792,1976,64884
1975,0,1975,0,1975,0,1975,0,1975,82484,1975,45926,1975,122852,1975,20052,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,0,1975,1475,1975,41879,1975,54447,1975,55820
1974,0,1974,0,1974,0,1974,0,1974,59110,1974,36082,1974,122871,1974,17035,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,0,1974,1285,1974,43813,1974,57547,1974,59656
