"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019,"End Date",2019
Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1986,0,1986,0,1986,0,1986,0,1986,87,1986,28559,1986,0,1986,31411,1986,0,1986,0,1986,0,1986,0,1986,1,1986,0,1986,0,1986,0,1986,3377,1986,0,1986,0,1986,0,1986,18455,1986,34709,1986,99811,1986,91360
1985,0,1985,0,1985,0,1985,0,1985,93,1985,30727,1985,0,1985,28118,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,0,1985,3195,1985,0,1985,0,1985,0,1985,11468,1985,38812,1985,78537,1985,107924
1984,0,1984,0,1984,0,1984,0,1984,78,1984,36684,1984,0,1984,31187,1984,0,1984,0,1984,0,1984,0,1984,1,1984,0,1984,0,1984,0,1984,2980,1984,0,1984,0,1984,0,1984,11118,1984,38025,1984,78627,1984,108141
1983,0,1983,0,1983,0,1983,0,1983,58,1983,34123,1983,0,1983,30891,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,0,1983,2496,1983,0,1983,0,1983,0,1983,8965,1983,30858,1983,74654,1983,109362
1982,0,1982,0,1982,0,1982,0,1982,68,1982,34944,1982,0,1982,30770,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,0,1982,1328,1982,0,1982,0,1982,0,1982,9653,1982,34417,1982,69667,1982,96140
1981,0,1981,0,1981,0,1981,0,1981,80,1981,27160,1981,0,1981,29834,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,0,1981,398,1981,0,1981,0,1981,0,1981,8084,1981,27975,1981,68263,1981,99949
1980,0,1980,0,1980,0,1980,0,1980,86,1980,30538,1980,0,1980,25106,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,0,1980,9002,1980,25284,1980,64707,1980,96018
1979,0,1979,0,1979,0,1979,0,1979,38,1979,40794,1979,0,1979,28878,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,0,1979,7891,1979,41737,1979,44717,1979,48018
1978,0,1978,0,1978,0,1978,0,1978,49,1978,32964,1978,0,1978,29293,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,0,1978,7491,1978,37550,1978,47825,1978,45596
1977,0,1977,0,1977,0,1977,0,1977,33,1977,34572,1977,0,1977,31672,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,0,1977,6820,1977,29568,1977,46692,1977,41017
