Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1974,43952,1974,3956458,1974,111472,1974,347813,1974,32017,1974,2432022,1974,16976,1974,949663,1974,5915,1974,959652,1974,66669,1974,1228332,1974,44928,1974,3408243,1974,64263,1974,354413,1974,52381,1974,1123057,1974,56959,1974,1475055,1974,50587,1974,2916310,1974,35899,1974,1237566
1973,43861,1973,4019481,1973,97216,1973,337008,1973,32102,1973,2474472,1973,16691,1973,962796,1973,6031,1973,966322,1973,67629,1973,1236974,1973,45748,1973,3317510,1973,64648,1973,378940,1973,55059,1973,1214593,1973,56501,1973,1581551,1973,47225,1973,3060405,1973,36452,1973,1257708
1972,41490,1972,3929667,1972,92776,1972,334033,1972,30826,1972,2435885,1972,17235,1972,904471,1972,5702,1972,961171,1972,66566,1972,1203074,1972,44819,1972,3083286,1972,59882,1972,380418,1972,56117,1972,1122760,1972,59302,1972,1546466,1972,56203,1972,2970324,1972,35695,1972,1209799
1971,40628,1971,3722756,1971,89445,1971,311605,1971,27156,1971,2236217,1971,16122,1971,862483,1971,3941,1971,908254,1971,61912,1971,1117666,1971,41912,1971,2897554,1971,55423,1971,353571,1971,49264,1971,1104522,1971,61247,1971,1493798,1971,53960,1971,2798196,1971,33768,1971,1148516
1970,41064,1970,3696737,1970,85735,1970,296399,1970,28494,1970,2219775,1970,16080,1970,850609,1970,3730,1970,874267,1970,57023,1970,1104720,1970,41620,1970,2836864,1970,59420,1970,302380,1970,51782,1970,1067972,1970,65043,1970,1464384,1970,54309,1970,2702538,1970,32822,1970,1107892
1969,41716,1969,3634712,1969,76228,1969,286782,1969,29971,1969,2157093,1969,15250,1969,821912,1969,3280,1969,839336,1969,51326,1969,1073330,1969,40698,1969,2701453,1969,61658,1969,288283,1969,45515,1969,1023972,1969,64611,1969,1402415,1969,56624,1969,2734264,1969,34190,1969,1081915
1968,40029,1968,3450826,1968,80804,1968,287248,1968,28677,1968,2043409,1968,16244,1968,781902,1968,3459,1968,793842,1968,53358,1968,1014155,1968,40791,1968,2422111,1968,59840,1968,271194,1968,47752,1968,968996,1968,62101,1968,1373613,1968,56320,1968,2627315,1968,33828,1968,991475
1967,37444,1967,3315076,1967,82252,1967,266750,1967,27363,1967,1952042,1967,14243,1967,747574,1967,3349,1967,722888,1967,61073,1967,953994,1967,37685,1967,2236542,1967,58337,1967,256811,1967,49500,1967,915531,1967,58183,1967,1326492,1967,56539,1967,2490875,1967,32385,1967,929413
1966,37080,1966,3185513,1966,81379,1966,245066,1966,24315,1966,1919366,1966,14994,1966,698683,1966,3529,1966,763521,1966,49311,1966,905831,1966,39754,1966,1973892,1966,55812,1966,244258,1966,42103,1966,900300,1966,58117,1966,1247984,1966,56828,1966,2430278,1966,35031,1966,922187
1965,35036,1965,3026466,1965,79778,1965,234742,1965,23060,1965,1798393,1965,15160,1965,696730,1965,3499,1965,723629,1965,47438,1965,899590,1965,38299,1965,1832996,1965,51675,1965,232176,1965,39019,1965,859906,1965,55636,1965,1245258,1965,55858,1965,2278302,1965,34786,1965,865284
1964,34491,1964,2849301,1964,76892,1964,230412,1964,23168,1964,1714801,1964,12798,1964,669473,1964,3674,1964,657075,1964,47022,1964,890219,1964,39291,1964,1866221,1964,55936,1964,242725,1964,37440,1964,823757,1964,54148,1964,1119625,1964,52769,1964,2140394,1964,33210,1964,816048
1963,34418,1963,2719427,1963,73227,1963,213298,1963,24007,1963,1635028,1963,13403,1963,644262,1963,3798,1963,641033,1963,47591,1963,888319,1963,39147,1963,1747248,1963,58874,1963,241423,1963,35457,1963,775284,1963,52762,1963,1083270,1963,51374,1963,2072621,1963,32328,1963,775637
1962,32864,1962,2656186,1962,73984,1962,211160,1962,24089,1962,1580987,1962,15580,1962,626526,1962,3670,1962,639460,1962,51423,1962,836442,1962,36785,1962,1580187,1962,55672,1962,237907,1962,36002,1962,748394,1962,53590,1962,1111915,1962,53745,1962,1985156,1962,34382,1962,766680
1961,32237,1961,2558990,1961,70403,1961,202853,1961,24199,1961,1551091,1961,15713,1961,600070,1961,3855,1961,618147,1961,48648,1961,818917,1961,37174,1961,1564830,1961,56575,1961,244897,1961,35723,1961,699934,1961,52769,1961,1079950,1961,55209,1961,1876674,1961,32478,1961,728237
1960,33020,1960,2523973,1960,77688,1960,190661,1960,24556,1960,1530437,1960,15884,1960,601996,1960,4123,1960,631316,1960,50751,1960,823236,1960,38992,1960,1502163,1960,59784,1960,232332,1960,38447,1960,697260,1960,53354,1960,1054127,1960,59100,1960,1851644,1960,34957,1960,723031
