Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1978,148341,1978,1638359,1978,10809,1978,324010,1978,79870,1978,747985,1978,77088,1978,887040,1978,576601,1978,6472696,1978,29391,1978,850246,1978,26391,1978,768737,1978,10667,1978,226261,1978,193,1978,160278,1978,65357,1978,2327321,1978,138170,1978,1683045,1978,1143,1978,236970
1977,174751,1977,1623443,1977,11449,1977,293489,1977,75681,1977,738889,1977,69746,1977,886292,1977,338073,1977,6361466,1977,23658,1977,835096,1977,24105,1977,748110,1977,10161,1977,227666,1977,158,1977,163353,1977,59953,1977,2217477,1977,136122,1977,1628701,1977,1355,1977,233334
1976,160994,1976,1551806,1976,9201,1976,254649,1976,84428,1976,691884,1976,62300,1976,840830,1976,422852,1976,6186312,1976,23636,1976,818799,1976,23862,1976,742109,1976,9607,1976,229178,1976,146,1976,164436,1976,56507,1976,2062020,1976,135157,1976,1552529,1976,1663,1976,220042
1975,184701,1975,1515130,1975,8608,1975,232172,1975,80897,1975,660004,1975,71589,1975,785659,1975,578578,1975,6032845,1975,24728,1975,784438,1975,22237,1975,689513,1975,7901,1975,218797,1975,131,1975,163161,1975,50007,1975,1939837,1975,123427,1975,1489772,1975,1498,1975,214378
1974,166734,1974,1547657,1974,8329,1974,201488,1974,82058,1974,676309,1974,81339,1974,798333,1974,645073,1974,5816324,1974,24207,1974,787106,1974,22509,1974,714126,1974,8466,1974,228887,1974,129,1974,171284,1974,52429,1974,1929045,1974,121581,1974,1495568,1974,1550,1974,212103
1973,181706,1973,1527209,1973,7844,1973,196965,1973,79348,1973,670117,1973,81723,1973,820083,1973,553162,1973,6047069,1973,23623,1973,801930,1973,21870,1973,743064,1973,8483,1973,246392,1973,114,1973,193442,1973,56250,1973,1995319,1973,125605,1973,1555110,1973,1528,1973,224312
1972,164946,1972,1478039,1972,8673,1972,214377,1972,75189,1972,616452,1972,53917,1972,744634,1972,472312,1972,5872011,1972,22935,1972,756325,1972,22712,1972,717611,1972,8190,1972,232526,1972,118,1972,188830,1972,54389,1972,1804005,1972,114745,1972,1435584,1972,1491,1972,218057
1971,158182,1971,1384940,1971,9094,1971,200962,1971,74136,1971,554212,1971,53579,1971,700736,1971,533790,1971,5747656,1971,25526,1971,691909,1971,20206,1971,682588,1971,7673,1971,222353,1971,116,1971,199397,1971,49968,1971,1674133,1971,109007,1971,1348865,1971,1283,1971,211673
1970,132471,1970,1393497,1970,8835,1970,182039,1970,68919,1970,520401,1970,56933,1970,708904,1970,521978,1970,5499139,1970,21329,1970,677623,1970,19293,1970,693930,1970,7021,1970,219722,1970,113,1970,205891,1970,51035,1970,1577450,1970,98222,1970,1280820,1970,1559,1970,196947
1969,131856,1969,1343138,1969,8455,1969,156631,1969,67840,1969,498192,1969,64813,1969,681052,1969,544918,1969,5356783,1969,18181,1969,648877,1969,19701,1969,667657,1969,7073,1969,219454,1969,108,1969,195629,1969,51489,1969,1453793,1969,105812,1969,1228189,1969,1773,1969,190862
1968,129673,1968,1246669,1968,8486,1968,122533,1968,63456,1968,456156,1968,64986,1968,635396,1968,397366,1968,5115122,1968,17248,1968,622770,1968,18657,1968,648770,1968,6594,1968,206901,1968,120,1968,181890,1968,49556,1968,1349462,1968,106371,1968,1154038,1968,1657,1968,182799
1967,144384,1967,1138573,1967,8457,1967,115172,1967,56423,1967,414501,1967,46124,1967,596737,1967,473192,1967,4841003,1967,16908,1967,555487,1967,18072,1967,624114,1967,5783,1967,187575,1967,112,1967,182216,1967,44550,1967,1223737,1967,109475,1967,1062811,1967,1389,1967,163865
1966,121238,1966,1088204,1966,8328,1966,102696,1966,58060,1966,403460,1966,51697,1966,566110,1966,375877,1966,4645217,1966,17380,1966,531922,1966,16243,1966,609289,1966,5852,1966,192519,1966,111,1966,169525,1966,42760,1966,1180231,1966,109456,1966,997589,1966,1309,1966,145474
1965,121888,1965,1044616,1965,8519,1965,87782,1965,50095,1965,375200,1965,46425,1965,528740,1965,418518,1965,4385719,1965,16369,1965,508687,1965,15500,1965,569505,1965,5577,1965,184269,1965,120,1965,159170,1965,39916,1965,1111530,1965,108022,1965,917174,1965,1265,1965,130560
1964,137992,1964,979212,1964,8102,1964,85067,1964,34271,1964,369663,1964,42732,1964,527123,1964,331757,1964,4219633,1964,17865,1964,498054,1964,16703,1964,563507,1964,5510,1964,173156,1964,138,1964,132268,1964,39016,1964,1049548,1964,118296,1964,857040,1964,1429,1964,123433
1963,112682,1963,913155,1963,7793,1963,80788,1963,34861,1963,348302,1963,41897,1963,484672,1963,360333,1963,3923736,1963,17410,1963,465929,1963,16253,1963,545224,1963,5356,1963,172781,1963,148,1963,121016,1963,38613,1963,994376,1963,103171,1963,802968,1963,446,1963,114265
1962,125564,1962,881239,1962,7453,1962,78812,1962,34533,1962,324913,1962,47637,1962,456788,1962,329046,1962,3724117,1962,17144,1962,468348,1962,15937,1962,536644,1962,5134,1962,161918,1962,166,1962,120458,1962,35826,1962,949391,1962,96771,1962,764902,1962,214,1962,108286
1961,118021,1961,831311,1961,7313,1961,72173,1961,35083,1961,304835,1961,51144,1961,431586,1961,248178,1961,3609108,1961,15464,1961,461749,1961,17076,1961,518130,1961,5101,1961,150335,1961,163,1961,118175,1961,34417,1961,848703,1961,94590,1961,705734,1961,258,1961,113754
1960,112809,1960,866594,1960,6800,1960,61433,1960,36181,1960,282993,1960,48104,1960,425974,1960,270161,1960,3449919,1960,16914,1960,424556,1960,17406,1960,507999,1960,4982,1960,156406,1960,155,1960,119871,1960,35680,1960,809559,1960,96016,1960,701005,1960,292,1960,94839
