Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration",Source,"SEDS, EIA, U.S. Energy Information Administration"

1995,38250,1995,1717666,1995,94383,1995,1120526,1995,127489,1995,391902,1995,33382,1995,613636,1995,41379,1995,514831,1995,39480,1995,267526,1995,44258,1995,2487294,1995,9787,1995,582688,1995,393535,1995,3791092,1995,168810,1995,2361657,1995,29912,1995,350175,1995,87819,1995,4109185
1994,38883,1994,1658124,1994,95203,1994,1093733,1994,94371,1994,371882,1994,24719,1994,585367,1994,39090,1994,499559,1994,40356,1994,264573,1994,41787,1994,2491674,1994,8156,1994,590989,1994,409947,1994,3752701,1994,187840,1994,2242614,1994,23492,1994,342000,1994,94253,1994,4026924
1993,52644,1993,1645347,1993,92918,1993,1076443,1993,109033,1993,367830,1993,20857,1993,560302,1993,41377,1993,460325,1993,42448,1993,261384,1993,37099,1993,2381585,1993,8838,1993,602796,1993,421586,1993,3813731,1993,157578,1993,2234705,1993,18259,1993,332142,1993,65996,1993,3917038
1992,37086,1992,1532026,1992,90830,1992,1067309,1992,95817,1992,349443,1992,21140,1992,531594,1992,37488,1992,436191,1992,42211,1992,261635,1992,38620,1992,2372206,1992,9308,1992,587579,1992,395108,1992,3788665,1992,159968,1992,2146014,1992,21389,1992,329126,1992,84110,1992,3864860
1991,32516,1991,1540305,1991,89510,1991,1042158,1991,142264,1991,355349,1991,19436,1991,542836,1991,39509,1991,421560,1991,40894,1991,253893,1991,35990,1991,2290891,1991,9344,1991,590778,1991,379052,1991,3703136,1991,137701,1991,2053070,1991,22111,1991,322894,1991,85301,1991,3821363
1990,43149,1990,1506669,1990,84868,1990,1019810,1990,123371,1990,350590,1990,19705,1990,533802,1990,30071,1990,410370,1990,46824,1990,267260,1990,26140,1990,2262859,1990,8718,1990,597445,1990,390950,1990,3768938,1990,168721,1990,2064098,1990,21154,1990,312939,1990,79958,1990,3822978
1989,37837,1989,1511766,1989,76403,1989,959292,1989,110781,1989,351807,1989,22066,1989,533925,1989,30611,1989,389011,1989,40566,1989,272775,1989,34878,1989,2354787,1989,9918,1989,535009,1989,379021,1989,3771097,1989,167662,1989,2064537,1989,24212,1989,319110,1989,112103,1989,3953736
1988,44194,1988,1500220,1988,47412,1988,917601,1988,103727,1988,341806,1988,22964,1988,535116,1988,24397,1988,353306,1988,36549,1988,273541,1988,41856,1988,2293960,1988,8594,1988,510363,1988,365628,1988,3748830,1988,115314,1988,2044646,1988,23859,1988,306556,1988,131494,1988,3844211
1987,40982,1987,1430886,1987,45439,1987,868802,1987,111016,1987,329241,1987,24830,1987,495732,1987,28996,1987,330578,1987,34985,1987,273261,1987,38592,1987,2276016,1987,8592,1987,485504,1987,400041,1987,3658508,1987,134887,1987,1966269,1987,25054,1987,302940,1987,125393,1987,3708183
1986,49423,1986,1407765,1986,49196,1986,846367,1986,133794,1986,352552,1986,26645,1986,482525,1986,52238,1986,303314,1986,38742,1986,252309,1986,41534,1986,2200878,1986,11126,1986,454881,1986,429134,1986,3554662,1986,114112,1986,1879993,1986,29018,1986,303900,1986,119814,1986,3591701
1985,62542,1985,1405803,1985,50892,1985,837167,1985,120845,1985,370198,1985,24632,1985,499912,1985,49989,1985,302688,1985,33807,1985,233475,1985,49683,1985,2137379,1985,10521,1985,466444,1985,415540,1985,3508528,1985,137560,1985,1797051,1985,27227,1985,300438,1985,131331,1985,3622387
1984,47136,1984,1382791,1984,50468,1984,858698,1984,130479,1984,359490,1984,22853,1984,506451,1984,63057,1984,300567,1984,35004,1984,224289,1984,48816,1984,2184942,1984,9926,1984,474648,1984,409565,1984,3403950,1984,160144,1984,1800225,1984,28819,1984,259557,1984,128420,1984,3646301
1983,44094,1983,1364968,1983,45071,1983,819939,1983,135671,1983,323449,1983,21516,1983,502801,1983,47194,1983,300667,1983,38209,1983,204533,1983,60308,1983,2087571,1983,9201,1983,472744,1983,435889,1983,3353921,1983,149658,1983,1668995,1983,28400,1983,230477,1983,132120,1983,3444507
1982,43954,1982,1361929,1982,44643,1982,814290,1982,126686,1982,316999,1982,19739,1982,492029,1982,18717,1982,290160,1982,33759,1982,201336,1982,49211,1982,2064991,1982,8035,1982,465226,1982,397442,1982,3529658,1982,143364,1982,1592073,1982,29855,1982,234682,1982,114311,1982,3507765
1981,30527,1981,1364588,1981,41070,1981,817881,1981,130992,1981,337187,1981,18113,1981,477613,1981,21800,1981,286208,1981,36078,1981,200294,1981,54426,1981,2026137,1981,7731,1981,472741,1981,413896,1981,3673745,1981,108282,1981,1629516,1981,25970,1981,236161,1981,113023,1981,3848330
1980,30880,1980,1422627,1980,38097,1980,833876,1980,114608,1980,360216,1980,19778,1980,507068,1980,27403,1980,291313,1980,32382,1980,208260,1980,48383,1980,2042226,1980,6223,1980,480615,1980,404671,1980,3863274,1980,135910,1980,1667382,1980,28555,1980,222373,1980,107374,1980,3950811
1979,55940,1979,1530220,1979,37510,1979,877571,1979,119406,1979,397177,1979,16832,1979,545126,1979,19804,1979,296498,1979,33548,1979,210760,1979,43101,1979,2032650,1979,9922,1979,480612,1979,368358,1979,3972800,1979,191639,1979,1730521,1979,28886,1979,237989,1979,74657,1979,4261990
1978,49657,1978,1556126,1978,37576,1978,849268,1978,132188,1978,383374,1978,16096,1978,556658,1978,18980,1978,282200,1978,31004,1978,233236,1978,41662,1978,2020375,1978,7989,1978,475173,1978,354864,1978,4195842,1978,159172,1978,1665364,1978,31963,1978,230012,1978,69632,1978,4275771
